source_hash,chunk,resolver_source,generated_path_hint,score,wem_size_bytes,runtime_capacity_bytes,official_speaker_id,official_speaker_name
01049547999B01D2,chunk0,cumulative_wem_path,production/global_patch_with_approved_voices/post_update_restore_20260616_2043/post_update_restore_cumulative311_marker_preserved_fallback_20260616_215119/wem_marker_preserved/01049547999B01D2.WWES.wem,2570,20836,36670,BOND,Bond
011318D12123CE2E,chunk1,cumulative_wem_path,production/global_patch_with_approved_voices/post_update_restore_20260616_2043/post_update_restore_cumulative311_marker_preserved_fallback_20260616_215119/wem_marker_preserved/011318D12123CE2E.WWES.wem,2570,17744,38931,BOND,Bond
013042D0526A2570,chunk1,cumulative_wem_path,production/global_patch_with_approved_voices/post_update_restore_20260616_2043/post_update_restore_cumulative311_marker_preserved_fallback_20260616_215119/wem_marker_preserved/013042D0526A2570.WWES.wem,2570,11038,19673,BOND,Bond
0132247A025F15A9,chunk0,cumulative_wem_path,production/global_patch_with_approved_voices/post_update_restore_20260616_2043/post_update_restore_cumulative311_marker_preserved_fallback_20260616_215119/wem_marker_preserved/0132247A025F15A9.WWES.wem,2570,16826,26735,BOND,Bond
013D81470BBDCF71,chunk1,cumulative_wem_path,production/global_patch_with_approved_voices/post_update_restore_20260616_2043/post_update_restore_cumulative311_marker_preserved_fallback_20260616_215119/wem_marker_preserved/013D81470BBDCF71.WWES.wem,2570,11676,28906,BOND,Bond
0148CD6B558503BC,chunk0,cumulative_wem_path,production/global_patch_with_approved_voices/post_update_restore_20260616_2043/post_update_restore_cumulative311_marker_preserved_fallback_20260616_215119/wem_marker_preserved/0148CD6B558503BC.WWES.wem,2570,21200,52192,BOND,Bond
014B07AA120BBD0B,chunk1,cumulative_wem_path,production/global_patch_with_approved_voices/post_update_restore_20260616_2043/post_update_restore_cumulative311_marker_preserved_fallback_20260616_215119/wem_marker_preserved/014B07AA120BBD0B.WWES.wem,2570,15272,29746,BOND,Bond
014F1C6E6D74111B,chunk0,cumulative_wem_path,production/global_patch_with_approved_voices/post_update_restore_20260616_2043/post_update_restore_cumulative311_marker_preserved_fallback_20260616_215119/wem_marker_preserved/014F1C6E6D74111B.WWES.wem,2570,15780,33061,BOND,Bond
0159A28B48A44AC3,chunk1,cumulative_wem_path,production/global_patch_with_approved_voices/post_update_restore_20260616_2043/post_update_restore_cumulative311_marker_preserved_fallback_20260616_215119/wem_marker_preserved/0159A28B48A44AC3.WWES.wem,2570,23352,55748,BOND,Bond
0165A8339EA685EC,chunk0,cumulative_wem_path,production/global_patch_with_approved_voices/post_update_restore_20260616_2043/post_update_restore_cumulative311_marker_preserved_fallback_20260616_215119/wem_marker_preserved/0165A8339EA685EC.WWES.wem,2570,22443,37025,BOND,Bond
